Judul,Harga,Lokasi,Kota,Provinsi,Tipe Properti,Kamar Tidur,Kamar Mandi,Luas Total,Nama Agen,Link
DIJUAL CEPAT UNIT STUDIO TOWER MATOA LT. 17 WOODLAND PARK RESIDENCE,600000000.0,"RW 07, Rawajati, Pancoran, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,1.0,1.0,28.0,MoFu,https://www.lamudi.co.id/properti/41032-73-54ce27f8200-7466-19e91bd-aaf4-73c3
DI JUAL APARTEMEN 2 BEDROOM SKY HOUSE BSD – READY UNIT HUNI l AKSES AEON MALL,860000000.0,"BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2.0,1.0,51.0,Frans Property,https://www.lamudi.co.id/properti/41032-73-95cd83cc7304-dbac-19e4a5d-8b75-73a2
"Di jual 2BR Sky House BSD city, lokasi premium samping Aeon mall BSD",850000000.0,"BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2.0,1.0,51.0,Frans Property,https://www.lamudi.co.id/properti/41032-73-6b37fd621feb-bba4-19e881f-983d-8029
INVESTASI TERBAIK 2026: 2BR SAMPING AEON BSD HARGA PERDANA! CASH DICICIL 36X BUNGA 0%,840000000.0,"BSD Grand CBD, BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2.0,1.0,48.0,Sky House BSD.,https://www.lamudi.co.id/properti/41032-73-2462c22c8a4b-cf35-19e8efa-b9dd-7c00
Dijual Apartemen Sepinggan Terrace Balikpapan,600000000.0,"Sepinggan Baru, Balikpapan Selatan, Balikpapan, Kalimantan Timur",Balikpapan,Kalimantan Timur,Apartemen,2.0,1.0,29.0,Frans Property,https://www.lamudi.co.id/properti/41032-73-f74d68fda560-862d-19a6d33-89c7-734b
Best Deal! Unit Full Furnished – herbras 20 | apartemen kalibata city,470000000.0,"RW 04, Rawajati, Pancoran, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,2.0,1.0,33.0,Adelia Queen,https://www.lamudi.co.id/properti/41032-73-d6cd955edaef-3f5a-19b7d15-b9f3-7ef6
DIJUAL – Apartemen 2BR Full Furnished View Gunung di Pasteur Gateway,500000000.0,"Klaster Gunung Batu 117, Sukaraja, Cicendo, Kota Bandung, Jawa Barat",Kota Bandung,Jawa Barat,Apartemen,2.0,1.0,37.0,Aileen Felicia Goey - Be The Best Property,https://www.lamudi.co.id/properti/41032-73-49f11b01286d-ca91-19e9ca6-85c4-7df1
"Dijual Cepat: Unit 1BR Branz BSD, Lokasi Strategis di CBD BSD City",1400000000.0,"BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,1.0,1.0,42.0,Kuncirumahpro,https://www.lamudi.co.id/properti/41032-73-47c4567e1e27-e0c1-19cd0be-8d2b-7e11
Apartemen mewah posisi paling depan di kawasan cpi dan berhadapan dgn mall Ciputra world,674400000.0,"Centre Point of Indonesia (CPI), Panambungan, Mariso, Makassar, Sulawesi Selatan",Makassar,Sulawesi Selatan,Apartemen,2.0,1.0,22.0,Dedy Century 21 Best Home,https://www.lamudi.co.id/properti/41032-73-6a1d91c59a39-1af9-19ddf2e-8ca5-7b55
Dijual apartment Senanyan Residence,3000000000.0,"RW 07, Grogol Utara, Kebayoran Lama, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,1.0,1.0,79.0,Ryan Kairos Agent,https://www.lamudi.co.id/properti/41032-73-6ca0521362a7-ff13-19e0cdf-9eb1-708b
DIJUAL APARTMENT 2BS,490000000.0,"RW 16, Pejagalan, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,2.0,1.0,45.0,JODOH PROPERTIMU,https://www.lamudi.co.id/properti/41032-73-875510e50f75-c3b4-19e2119-a004-7b7f
Dijual apartemen U-Res 3 lokasi lippo karawaci tipe studio full furnished,600.0,"Lippo Village, Binong, Curug, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2.0,1.0,47.0,Linda Fang - Bossland Property,https://www.lamudi.co.id/properti/41032-73-358e350fbde3-7ab5-19e8bb3-b3a6-760b
Dijual Cepat Apartment 2 Bedroom Full Furnished di Meikarta Marbella Distrik 2,450000000.0,"Meikarta, Cibatu, Kab Bekasi, Jawa Barat",Kab Bekasi,Jawa Barat,Apartemen,2.0,1.0,49.0,Iwan Parean,https://www.lamudi.co.id/properti/41032-73-2caefcfdce71-4a03-19d7126-9bce-73ef
"Under Market Price! Marbella Kemang Residence 3BR Full Furnished, Siap Huni & View Kota",950000000.0,"RW 03, Pela Mampang, Mampang Prapatan, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,3.0,3.0,70.0,Infinite Global Realty,https://www.lamudi.co.id/properti/41032-73-bade1dd5caee-c48a-19e87a8-863e-77ab
Dijual Luxury Living di Jantung Bintaro Apartemen Embarcadero,2400000000.0,"Pondok Pucung, Pondok Aren, Tangerang Selatan, Banten",Tangerang Selatan,Banten,Apartemen,3.0,2.0,47.0,Sadiah balfas,https://www.lamudi.co.id/properti/41032-73-33776e7f990e-1d33-19dfd5a-b2b7-77f1
"Apartemen Park Land, 2KT, City View",650000000.0,"Cilenggang, Serpong, Tangerang Selatan, Banten",Tangerang Selatan,Banten,Apartemen,2.0,1.0,45.0,Fenny Irwan,https://www.lamudi.co.id/properti/41032-73-3b4bf761a62-5adf-19ca985-ba6f-7775
1BR plagoo residence - 18 years Remaining,1030000000.0,"Benoa, Kuta Selatan, Badung, Bali",Badung,Bali,Apartemen,1.0,1.0,50.0,Averra Heilsche,https://www.lamudi.co.id/properti/41032-73-c3ead85f5f42-5448-19e6d3d-a3d1-7472
"DEPOSITO RUGIIII DONK, JUAL  HARGA INVESTOR dapet aset dapet uang SEWA, Harga Super MURAHHHH",525000000.0,"Gading Serpong, Pakulonan Barat, Kelapa Dua, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,1.0,1.0,30.0,Independent Agent,https://www.lamudi.co.id/jual/banten/tangerang/buat-apa-deposito-dapet-aset-dapet-uang-sewa-175721940758/
Dijual Apartemen Sentra Timur Residence Full furnished,195000000.0,"RW 06, Pulo Gebang, Cakung, Jakarta Timur, Daerah Khusus Ibukota Jakarta",Jakarta Timur,Daerah Khusus Ibukota Jakarta,Apartemen,2.0,1.0,36.0,Sheptian-Duwi Gusdianto,https://www.lamudi.co.id/properti/41032-73-f439c35d2173-1362-19f021b-9cd0-7086
Dijual Apartemen Sentra Timur Residence Full furnished,200000000.0,"RW 11, Halim Perdana Kusuma, Makasar, Jakarta Timur, Daerah Khusus Ibukota Jakarta",Jakarta Timur,Daerah Khusus Ibukota Jakarta,Apartemen,2.0,1.0,36.0,Sheptian-Duwi Gusdianto,https://www.lamudi.co.id/jual/jakarta/jakarta-timur/dijual-apartemen-sentra-timur-residence-full-furni-175058689418/
"Springwood Residence 2BR Full Furnish + Free DP 20%, PPN, KPA & Bonus Lengkap!",644000000.0,"Panunggangan, Pinang, Tangerang, Banten",Tangerang,Banten,Apartemen,2.0,1.0,40.0,Triniti land.,https://www.lamudi.co.id/properti/41032-73-227f2d30021a-a3f6-19dae9d-9c20-7551
"Apartemen Studio Skyhouse BSD Tower Kensington 23m Harga Promo, Lokasi Premium",493580000.0,"BSD Grand CBD, BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,1.0,1.0,23.0,livin Skyhouse,https://www.lamudi.co.id/properti/41032-73-20bb8ec56404-3663-19ceb24-91e6-77e4
Apartemen Meikarta Cikarang 2 BR District 1 Tower Princeton Unfurnished,328000000.0,"Meikarta, Cibatu, Kab Bekasi, Jawa Barat",Kab Bekasi,Jawa Barat,Apartemen,2.0,1.0,49.0,dani,https://www.lamudi.co.id/properti/41032-73-93a20a71f45e-a12b-199dd09-bd82-74e6
Dijual Cepat 2 Bedroom Osaka Apart. Furnish View Taman,355000000.0,"Pantai Indah Kapuk 2, Salembaran Jati, Kosambi, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2.0,1.0,26.0,Lina Liu - Deal Property PIK,https://www.lamudi.co.id/properti/41032-73-7360c36e2168-fbcd-19d2116-b6d2-7651
2 Bedroom Skyhouse BSD 51m² Tower Kensington – Investasi & Hunian Strategis,898580000.0,"BSD Grand CBD, BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2.0,1.0,43.0,livin Skyhouse,https://www.lamudi.co.id/properti/41032-73-7a7359fa8c2c-d765-19cc77a-a98a-75bc
"DIJUAL UNIT PREMIUM 3+1 BEDROOM 85 SQM 
CITY VIEW BSD | AKSES AEON |",1400000000.0,"BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,3.0,3.0,85.0,Rinif Sky BSD,https://www.lamudi.co.id/properti/41032-73-a59492d781e8-8152-19c8a0e-8444-71d7
Apartemen modern di oasis hijau Ubud untuk hunian dan investasi,1130000000.0,"Banjar Kutuh Kaja, Ubud, Kecamatan Ubud, Gianyar, Bali",Gianyar,Bali,Apartemen,1.0,1.0,26.0,DDA Real Estate,https://www.lamudi.co.id/properti/41032-73-6593930b5d86-6c48-19d1a24-805f-75f4
"Apartemen dalam proyek stylish di kawasan Badung, Bali!",1860000000.0,"Kutuh, Kuta Selatan, Badung, Bali",Badung,Bali,Apartemen,1.0,1.0,44.0,DDA Real Estate,https://www.lamudi.co.id/properti/41032-73-2cee7e263999-343b-19d1eca-a899-70e4
Apartemen dengan kolam renang pribadi di Ubud yang atmosferik,4800000000.0,"Tua, Luwus, Tabanan, Bali",Tabanan,Bali,Apartemen,1.0,1.0,96.0,DDA Real Estate,https://www.lamudi.co.id/properti/41032-73-80389fd4145a-883c-19d0b0c-aec3-7387
Dijual Cepat Apartment Kemang Village 3 Bed Room Tower Infinity,6500000000.0,"RW 06, Tegal Parang, Mampang Prapatan, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,3.0,2.0,182.0,Century 21 Prima Pondok Indah,https://www.lamudi.co.id/properti/41032-73-df3befea883d-93af-79404556-ab32-4583
Apartemen dengan daya tarik investasi,1660000000.0,"Kedewatan, Kecamatan Ubud, Gianyar, Bali",Gianyar,Bali,Apartemen,2.0,2.0,45.0,DDA Real Estate,https://www.lamudi.co.id/properti/41032-73-5528aac1a000-4a0d-19d0b30-a7c2-754b
"JUAL RENDAH - Apartemen 3BR dengan Balkon – Springhill Terrace, Oakwood Tower",2200000000.0,"PPK Kemayoran, Pademangan Timur, Pademangan, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,3.0,2.0,100.0,Ricky Pratama,https://www.lamudi.co.id/properti/41032-73-5e8deed77338-f4a9-19a8fe6-a5bc-74b3
READY DI JUAL APARTMENT GREEN BAY PLUIT TAHAP 2 TOWER DEPAN HARGA MIRING,420000000.0,"RW 10, Pluit, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,1.0,1.0,42.0,Homeland Property,https://www.lamudi.co.id/properti/41032-73-f11027eae2c5-ac36-19e39ee-be5c-7265
