Judul,Harga,Lokasi,Link
Apartemen Dijual di Tenggilis Mejoyo,Rp 450Jt,"RW 03, Tenggilis Mejoyo, Tenggilis Mejoyo, Surabaya, Jawa Timur",https://www.lamudi.co.id/properti/41032-73-f5864089ed94-7918-19e6144-b9fd-77fb
Apartemen Dijual di Petemon,Rp 220Jt,"RW 01, Petemon, Sawahan, Surabaya, Jawa Timur",https://www.lamudi.co.id/properti/41032-73-19620ab59862-ba77-19daf87-bd52-7514
Apartemen Dijual di Kebayoran Lama,"Rp 7,75M","RW 03, Pondok Pinang, Kebayoran Lama, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-d12cc80a64fc-578e-19c8dd4-833c-7252
Apartemen Dijual di Ngagel,"Rp 1,50M","RW 02, Ngagel, Wonokromo, Surabaya, Jawa Timur",https://www.lamudi.co.id/properti/41032-73-b36dd87571e1-1a77-19d7bd3-a115-7783
Apartemen Dijual di Sleman,"Rp 1,20M","area pertokoan, Sariharjo, Ngaglik, Sleman, Daerah Istimewa Yogyakarta",https://www.lamudi.co.id/jual/yogyakarta/sleman/patraland-apartemen-jogja-171392822437/
Apartemen Dijual di Semolowaru,Rp 210Jt,"RW 02, Semolowaru, Sukolilo, Surabaya, Jawa Timur",https://www.lamudi.co.id/properti/41032-73-ea023bf7f546-4536-19e6db0-b57c-7538
Apartemen Dijual di Pancoran Mas,Rp 350Jt,"Rangkapan Jaya, Pancoran Mas, Depok, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-11e7471cac9b-b47a-19dabb7-b307-72a4
Apartemen Dijual di Karet,"Rp 3,60M","RW 05, Karet, Setiabudi, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-c7e8c6c4b24b-7173-19d4159-8a11-8017
Apartemen Dijual di Kebayoran Lama,"Rp 2,50M","RW 15, Pondok Pinang, Kebayoran Lama, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-19de9e276590-ed5d-19cb243-85e1-7145
Apartemen Dijual di Tlogomas,Rp 395Jt,"RW 05, Kel Tlogomas, Kec Lowokwaru, Kota Malang, Tlogomas, Kota Malang, Lowokwaru, Jawa Timur",https://www.lamudi.co.id/properti/41032-73-948aeedb5445-2522-19ec9f3-9fa2-7331
