Judul,Harga,Lokasi,Kota,Provinsi,Tipe Properti,Kamar Tidur,Kamar Mandi,Luas Total,Luas Tanah,Nama Agen,Tanggal Posting,Link
Rumah disewakan cocok untuk keluarga,"Rp 2,10M","Kambang Barat, Pesisir Selatan, Sumatra Barat",Pesisir Selatan,Sumatra Barat,Rumah,4 Kamar Tidur,2 Kamar Mandi,150 m²,,REstate Gotong Royong 2,9 Jul 2025,https://www.lamudi.co.id/properti/41032-73-2b88f097ff24-9218-197ee9b-9946-725c
Lahan Pertanian 850 M2 di Kambang Barat,Rp 530Jt,"Kambang, Pesisir Selatan, Sumatra Barat",Pesisir Selatan,Sumatra Barat,Tanah,,,,850 m²,REstate Gotong Royong 2,9 Jul 2025,https://www.lamudi.co.id/properti/41032-73-38eb0ccf1615-8b63-197ee97-9cf0-77cd
"Kost Dijual di Pogung Jogja, Kamar Mezanin - SHM, Siap Bangun","Rp 5,50M","Manggung, Catur Tunggal, Depok, Sleman, Daerah Istimewa Yogyakarta",Sleman,Daerah Istimewa Yogyakarta,Ruang Usaha,20 Kamar Tidur,21 Kamar Mandi,421 m²,193 m²,Harianto Property Jogja,8 Apr 2026,https://www.lamudi.co.id/properti/41032-73-fabcf2652aa9-a3ef-19d6dea-a257-70ba
"Kost Esklusif 26 Kamar di Plemburan Dekat UGM - SHM, Siap Bangun","Rp 5,70M","Sinduadi, Mlati, Sleman, Daerah Istimewa Yogyakarta",Sleman,Daerah Istimewa Yogyakarta,Ruang Usaha,26 Kamar Tidur,26 Kamar Mandi,,252 m²,Harianto Property Jogja,8 Apr 2026,https://www.lamudi.co.id/properti/41032-73-dc6f54b938c6-723e-19d6dd9-b82d-74d3
Dijual Rumah Mewah @Menteng Jakarta Pusat Luas Tanah: 753 m2 Swimming Pool Tanah Kotak 58 Miliar,Rp 58M,"RW 02, Cikini, Menteng, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",Jakarta Pusat,Daerah Khusus Ibukota Jakarta,Rumah,5 Kamar Tidur,5 Kamar Mandi,550 m²,753 m²,Prestige SCBD Property,"3 minggu, 1 jam yang lalu",https://www.lamudi.co.id/properti/41032-73-ab34ec438906-4bf9-19eb18a-9741-7142
"Dijual Rumah cocok untuk usaha di pusat kota Makassar, Mariso","Rp 1,50M","Mariso, Mariso, Makassar, Sulawesi Selatan",Makassar,Sulawesi Selatan,Rumah,4 Kamar Tidur,2 Kamar Mandi,150 m²,150 m²,Makassar property pro,8 Jun 2026,https://www.lamudi.co.id/properti/41032-73-f643443e71ed-7c8a-19ea6aa-bb2d-7558
Dijual Rumah 2 Lantai di Pusat Kota di Losari Makassar,"Rp 1,90M","Losari, Ujung Pandang, Makassar, Sulawesi Selatan",Makassar,Sulawesi Selatan,Rumah,2 Kamar Tidur,2 Kamar Mandi,105 m²,66 m²,Makassar property pro,8 Jun 2026,https://www.lamudi.co.id/properti/41032-73-9b7541a3b0fb-e938-19ea6a3-b856-7185
DIJUAL CEPAT UNIT STUDIO TOWER MATOA LT. 17 WOODLAND PARK RESIDENCE,Rp 600Jt,"RW 07, Rawajati, Pancoran, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,1 kamar tidur,1 kamar mandi,,,MoFu,4 Jun 2026,https://www.lamudi.co.id/properti/41032-73-54ce27f8200-7466-19e91bd-aaf4-73c3
Office Space baru di Apartemen Evenciio Margonda Depok,Rp 200Jt/bulan,"Pondok Cina, Beji, Depok, Jawa Barat",Depok,Jawa Barat,Apartemen,,,66 m²,,Evi Susanti - Brown & White Property,"2 hari, 7 jam yang lalu",https://www.lamudi.co.id/properti/41032-73-20602f9977c7-c2be-19f11ce-9525-743e
DIJUAL RUMAH MELALUI LELANG WILAYAH JAKARTA SELATAN,"Rp 5,12M","RW 01, Guntur, Setiabudi, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Rumah,,,,283 m²,SuksesMandiri Balai Lelang,"1 minggu, 4 hari yang lalu",https://www.lamudi.co.id/properti/41032-73-cebd635001bb-9c4b-19ee4b2-938a-7804
