Judul,Harga,Lokasi,Link
Rumah Dijual di Pesisir Selatan,"Rp 2,10M","Kambang Barat, Pesisir Selatan, Sumatra Barat",https://www.lamudi.co.id/properti/41032-73-2b88f097ff24-9218-197ee9b-9946-725c
Tanah Dijual di Pesisir Selatan,Rp 530Jt,"Kambang, Pesisir Selatan, Sumatra Barat",https://www.lamudi.co.id/properti/41032-73-38eb0ccf1615-8b63-197ee97-9cf0-77cd
Ruang Usaha Dijual di Depok,"Rp 5,50M","Manggung, Catur Tunggal, Depok, Sleman, Daerah Istimewa Yogyakarta",https://www.lamudi.co.id/properti/41032-73-fabcf2652aa9-a3ef-19d6dea-a257-70ba
Ruang Usaha Dijual di Mlati,"Rp 5,70M","Sinduadi, Mlati, Sleman, Daerah Istimewa Yogyakarta",https://www.lamudi.co.id/properti/41032-73-dc6f54b938c6-723e-19d6dd9-b82d-74d3
Rumah Dijual di Cikini,Rp 58M,"RW 02, Cikini, Menteng, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-ab34ec438906-4bf9-19eb18a-9741-7142
Rumah Dijual di Mariso,"Rp 1,50M","Mariso, Mariso, Makassar, Sulawesi Selatan",https://www.lamudi.co.id/properti/41032-73-f643443e71ed-7c8a-19ea6aa-bb2d-7558
Rumah Dijual di Losari,"Rp 1,90M","Losari, Ujung Pandang, Makassar, Sulawesi Selatan",https://www.lamudi.co.id/properti/41032-73-9b7541a3b0fb-e938-19ea6a3-b856-7185
Apartemen Dijual di Pancoran,Rp 600Jt,"RW 07, Rawajati, Pancoran, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-54ce27f8200-7466-19e91bd-aaf4-73c3
Apartemen Dijual di Beji,"Rp 2,50M","Pondok Cina, Beji, Depok, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-20602f9977c7-c2be-19f11ce-9525-743e
Rumah Dijual di Guntur,"Rp 5,12MProperti sitaan","RW 01, Guntur, Setiabudi, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-cebd635001bb-9c4b-19ee4b2-938a-7804
Rumah Dijual di Bekasi Barat,"Rp 1,18M","Bintara, Bekasi, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-4f9d7cc0e1a9-ffcb-19eb152-9bbd-7458
Rumah Dijual di Bekasi Barat,"Rp 977,25Jt","Bintara, Bekasi, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-5cd12c147339-6191-19eb14e-80a5-74e1
Ruang Usaha Dijual di Penjaringan,"Rp 5,50M","RW 18, Pluit, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-68663a1100ab-a9d2-19e91ed-8363-7765
Ruang Usaha Dijual di Kelapa Dua,"Rp 1,70M","Islamic Village, Cibogo Wetan, Kelapa Dua, Kelapa Dua, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-b0e9194c2512-3117-19e2fd0-885d-7b8c
Apartemen Dijual di Guntur,"Rp 2,50M","RW 02, Guntur, Setiabudi, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-9e24cb7378a2-91a4-19a0b18-952d-76b7
Rumah Dijual di Sukodono,Rp 580Jt,"Sukodono, Sukodono, Sidoarjo, Jawa Timur",https://www.lamudi.co.id/properti/41032-73-91970f3e5913-895a-19ef27e-9c19-7c74
Rumah Dijual di Gunung Putri,"Rp 1,50M","Kota Wisata, Nagrak, Gunung Putri, Kab Bogor, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-599cc61b0ee-4a59-19e4e04-a26f-7c7b
Apartemen Dijual di Bumi Serpong Damai,Rp 860Jt,"BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-95cd83cc7304-dbac-19e4a5d-8b75-73a2
Apartemen Dijual di Bumi Serpong Damai,Rp 850Jt,"BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-6b37fd621feb-bba4-19e881f-983d-8029
Apartemen Dijual di Bumi Serpong Damai,Rp 850Jt,"BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-7794c51ea29c-dc0c-19e4f5b-9b4a-731e
Apartemen Dijual di Bumi Serpong Damai,Rp 860Jt,"BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-fe4b97a4aad1-7d26-19e4f24-9791-7235
Rumah Dijual di Balaraja,Rp 310Jt,"Griya Sutera, Saga, Balaraja, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-777ae7e5b381-8479-19ea5c3-8fa6-7bbe
Rumah Dijual di Balaraja,Rp 85Jt,"Saga, Balaraja, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/jual/banten/tangerang/rumah-over-kredit-lokasi-balaraja-174910656515/
Apartemen Dijual di Bumi Serpong Damai,Rp 840Jt,"BSD Grand CBD, BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-2462c22c8a4b-cf35-19e8efa-b9dd-7c00
Apartemen Dijual di Balikpapan Selatan,Rp 600Jt,"Sepinggan Baru, Balikpapan Selatan, Balikpapan, Kalimantan Timur",https://www.lamudi.co.id/properti/41032-73-f74d68fda560-862d-19a6d33-89c7-734b
Apartemen Dijual di Pancoran,Rp 470Jt,"RW 04, Rawajati, Pancoran, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-d6cd955edaef-3f5a-19b7d15-b9f3-7ef6
Rumah Dijual di Kebayoran Baru,Rp 45M,"Blok P, Pulo, Kebayoran Baru, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-85f9878b4adf-93c6-19e9c7e-922b-729b
Rumah Dijual di Cakung,"Rp 1,05M","RW 04, Jatinegara, Cakung, Jakarta Timur, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-24d46cc64348-fc30-19e90bb-9ae3-7161
Rumah Dijual di Cipinang,"Rp 1,25M","RW 01, Cipinang, Pulo Gadung, Jakarta Timur, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-c52d0b9b8bae-7b0e-19e1bae-850c-78c7
Rumah Dijual di Benda,"Rp 1,05M","Duta Garden, Jurumudi Baru, Benda, Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-7150a009d260-3de2-19e7341-b43b-76da
