Judul,Harga,Lokasi,Link
Apartemen Dijual di Pancoran,Rp 600Jt,"RW 07, Rawajati, Pancoran, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-54ce27f8200-7466-19e91bd-aaf4-73c3
Apartemen Dijual di Bumi Serpong Damai,Rp 860Jt,"BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-95cd83cc7304-dbac-19e4a5d-8b75-73a2
Apartemen Dijual di Bumi Serpong Damai,Rp 850Jt,"BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-6b37fd621feb-bba4-19e881f-983d-8029
Apartemen Dijual di Bumi Serpong Damai,Rp 840Jt,"BSD Grand CBD, BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-2462c22c8a4b-cf35-19e8efa-b9dd-7c00
Apartemen Dijual di Balikpapan Selatan,Rp 600Jt,"Sepinggan Baru, Balikpapan Selatan, Balikpapan, Kalimantan Timur",https://www.lamudi.co.id/properti/41032-73-f74d68fda560-862d-19a6d33-89c7-734b
Apartemen Dijual di Pancoran,Rp 470Jt,"RW 04, Rawajati, Pancoran, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-d6cd955edaef-3f5a-19b7d15-b9f3-7ef6
Apartemen Dijual di Cicendo,Rp 500Jt,"Klaster Gunung Batu 117, Sukaraja, Cicendo, Kota Bandung, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-49f11b01286d-ca91-19e9ca6-85c4-7df1
Apartemen Dijual di Bekasi,Rp 670Jt,"Meikarta, Jayamukti, Kab Bekasi, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-d62241eb06c4-85ff-19e1fa2-bcfd-7676
Apartemen Dijual di Bumi Serpong Damai,"Rp 1,40M","BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-47c4567e1e27-e0c1-19cd0be-8d2b-7e11
Apartemen Dijual di Mariso,"Rp 674,40Jt","Centre Point of Indonesia (CPI), Panambungan, Mariso, Makassar, Sulawesi Selatan",https://www.lamudi.co.id/properti/41032-73-6a1d91c59a39-1af9-19ddf2e-8ca5-7b55
